costo = 0.2005047192418406 solucion = [345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 184, 667, 832, 661, 663, 657, 829, 1, 986, 508, 9, 168, 505, 19, 329, 509, 493, 979, 837, 995, 331, 662, 8, 999, 343, 510, 660, 20, 670, 350, 502, 1038, 12, 828, 151, 340, 675, 186, 520, 16, 671, 1075, 652, 483, 512, 821, 75, 183, 346, 171, 179, 339, 327, 511, 504, 825, 500, 985, 674, 349, 1003, 11, 164, 501, 492, 25, 4, 174, 165, 3, 981, 333, 990, 27, 991, 26, 820, 654, 490, 344, 653, 507, 656, 2, 173, 815, 839, 496, 182, 172, 163, 673, 665, 676, 22, 185, 351, 1004, 988, 489, 17, 444, 826, 1001, 74, 658, 666, 818, 655, 819, 1037, 495, 328, 326, 330, 28, 169, 167, 494, 814, 1073, 166, 822, 297, 980, 336, 840, 334, 984, 491, 499, 347, 817, 23, 176, 668, 352, 978, 5, 6] es factible true semilla = 102
costo = 0.17444307501952983 solucion = [986, 508, 168, 505, 19, 839, 496, 182, 172, 815, 173, 2, 656, 832, 661, 663, 657, 829, 1, 9, 184, 667, 507, 653, 654, 26, 820, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 673, 163, 329, 509, 493, 979, 837, 8, 662, 999, 334, 674, 985, 343, 510, 660, 20, 500, 825, 504, 511, 327, 670, 350, 840, 336, 297, 980, 1001, 74, 658, 666, 818, 1073, 1037, 494, 167, 495, 328, 326, 814, 169, 330, 28, 819, 655, 166, 822, 151, 520, 16, 671, 179, 75, 821, 512, 483, 1075, 652, 171, 346, 183, 499, 491, 492, 25, 347, 817, 668, 176, 23, 352, 978, 5, 6, 165, 3, 981, 333, 990, 27, 991, 490, 344, 665, 676, 22, 185, 351, 1004, 988, 174, 4, 489, 17, 444, 339, 186, 675, 1038, 12, 828, 502, 340, 826, 11, 164, 1003, 349, 331, 995, 984, 501] es factible true semilla = 109
costo = 0.18275161043703803 solucion = [978, 352, 23, 176, 668, 493, 979, 837, 331, 662, 8, 999, 343, 510, 660, 20, 825, 500, 985, 504, 674, 334, 1003, 349, 995, 347, 817, 174, 988, 165, 3, 333, 27, 990, 981, 6, 5, 1004, 351, 509, 329, 163, 676, 665, 344, 490, 653, 656, 667, 184, 815, 173, 2, 9, 1, 829, 832, 661, 657, 663, 986, 508, 168, 505, 19, 839, 496, 172, 182, 673, 507, 7, 823, 678, 816, 187, 982, 14, 181, 332, 345, 654, 820, 26, 22, 185, 991, 4, 489, 25, 17, 444, 1001, 74, 658, 666, 818, 655, 1073, 1037, 814, 494, 167, 495, 328, 326, 169, 330, 28, 819, 166, 822, 151, 520, 16, 652, 1075, 483, 512, 821, 75, 183, 346, 492, 491, 499, 984, 501, 164, 11, 826, 511, 327, 670, 350, 840, 336, 980, 297, 340, 502, 828, 12, 1038, 339, 675, 186, 671, 179, 171] es factible true semilla = 113
costo = 0.16980997108404908 solucion = [329, 509, 493, 979, 837, 995, 984, 501, 164, 11, 1003, 349, 331, 662, 8, 999, 334, 674, 504, 336, 980, 1001, 74, 658, 666, 818, 655, 819, 28, 814, 494, 167, 495, 328, 326, 1037, 169, 330, 1073, 166, 822, 297, 840, 350, 500, 825, 985, 343, 510, 660, 20, 670, 327, 511, 826, 340, 502, 151, 828, 12, 1038, 675, 186, 520, 671, 179, 512, 821, 652, 1075, 483, 171, 346, 75, 183, 16, 339, 444, 17, 25, 492, 491, 499, 347, 489, 817, 176, 668, 23, 352, 978, 5, 6, 981, 990, 27, 333, 3, 165, 4, 174, 988, 1004, 351, 991, 185, 22, 676, 665, 673, 163, 172, 173, 667, 184, 815, 839, 182, 496, 19, 505, 168, 508, 986, 832, 661, 663, 657, 829, 1, 9, 2, 656, 507, 653, 344, 490, 7, 823, 678, 816, 654, 26, 820, 345, 332, 14, 181, 982, 187] es factible true semilla = 125
costo = 0.15884854446687452 solucion = [658, 666, 818, 655, 1073, 1037, 814, 494, 167, 495, 328, 326, 169, 330, 28, 819, 166, 822, 74, 1001, 826, 444, 17, 25, 492, 491, 499, 489, 4, 174, 165, 988, 6, 5, 981, 3, 333, 27, 990, 171, 483, 652, 1075, 512, 821, 75, 346, 183, 179, 671, 16, 520, 186, 675, 339, 502, 340, 1038, 12, 828, 151, 980, 297, 336, 840, 350, 164, 11, 501, 984, 1003, 349, 331, 995, 347, 817, 23, 176, 668, 352, 978, 1004, 351, 991, 185, 22, 676, 490, 344, 665, 673, 173, 667, 184, 815, 172, 182, 839, 496, 19, 505, 168, 9, 1, 829, 661, 832, 657, 663, 508, 986, 2, 656, 507, 7, 823, 678, 816, 187, 982, 14, 181, 332, 345, 820, 26, 654, 653, 163, 329, 509, 493, 979, 837, 8, 662, 999, 334, 674, 985, 825, 500, 504, 511, 327, 670, 20, 660, 510, 343] es factible true semilla = 131
costo = 0.1994325626312279 solucion = [495, 167, 326, 1073, 655, 166, 822, 1001, 297, 980, 336, 826, 444, 164, 11, 501, 499, 347, 668, 176, 23, 352, 978, 988, 165, 3, 333, 990, 27, 991, 185, 22, 820, 26, 654, 653, 344, 490, 676, 665, 673, 182, 496, 172, 163, 351, 1004, 6, 5, 17, 339, 151, 828, 12, 1038, 502, 340, 675, 186, 520, 16, 671, 179, 183, 346, 171, 483, 652, 1075, 512, 821, 75, 489, 25, 492, 491, 984, 349, 1003, 674, 985, 500, 825, 20, 660, 510, 343, 999, 8, 662, 331, 995, 837, 979, 493, 509, 329, 19, 839, 9, 1, 829, 661, 832, 657, 663, 986, 508, 168, 505, 815, 173, 184, 667, 656, 2, 507, 7, 823, 678, 816, 187, 982, 14, 181, 345, 332, 981, 174, 4, 817, 334, 504, 511, 327, 670, 350, 840, 74, 658, 666, 818, 814, 494, 1037, 819, 28, 330, 169, 328] es factible true semilla = 132
costo = 0.1715072924893308 solucion = [165, 988, 23, 176, 668, 352, 978, 5, 6, 1004, 351, 185, 22, 26, 820, 654, 490, 344, 653, 673, 173, 667, 184, 172, 182, 496, 19, 839, 815, 9, 1, 829, 661, 832, 663, 657, 986, 508, 168, 505, 2, 656, 507, 7, 823, 678, 816, 187, 982, 14, 181, 345, 332, 981, 3, 174, 4, 489, 25, 17, 444, 826, 339, 502, 1038, 12, 340, 675, 186, 520, 16, 183, 75, 346, 171, 652, 483, 1075, 821, 512, 179, 671, 828, 151, 822, 166, 1073, 330, 169, 1037, 326, 328, 167, 495, 494, 814, 28, 819, 655, 818, 666, 658, 74, 1001, 297, 980, 336, 840, 350, 670, 327, 511, 504, 837, 979, 493, 509, 329, 163, 665, 676, 991, 27, 990, 333, 817, 347, 499, 492, 491, 984, 995, 331, 662, 8, 999, 343, 510, 660, 20, 825, 500, 985, 674, 334, 1003, 349, 501, 164, 11] es factible true semilla = 139
costo = 0.17174634000690492 solucion = [343, 510, 660, 20, 670, 327, 511, 504, 825, 500, 985, 674, 999, 662, 331, 349, 995, 347, 817, 4, 174, 165, 3, 981, 333, 990, 27, 991, 185, 26, 820, 654, 490, 344, 653, 507, 184, 667, 656, 2, 173, 673, 163, 172, 182, 496, 839, 19, 505, 168, 508, 986, 329, 509, 493, 979, 668, 352, 978, 23, 176, 837, 8, 334, 350, 840, 336, 980, 297, 1001, 166, 1037, 814, 326, 494, 167, 495, 328, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 74, 822, 151, 828, 671, 179, 512, 821, 1075, 483, 652, 171, 346, 75, 183, 16, 520, 186, 675, 340, 502, 12, 1038, 339, 826, 444, 17, 501, 164, 11, 1003, 984, 499, 491, 492, 25, 489, 988, 6, 5, 1004, 351, 22, 676, 665, 815, 9, 832, 661, 663, 657, 829, 1, 7, 823, 678, 816, 187, 982, 14, 181, 345, 332] es factible true semilla = 172
costo = 0.17768879257226197 solucion = [164, 11, 1003, 349, 995, 331, 662, 999, 334, 674, 985, 500, 825, 504, 511, 327, 670, 350, 840, 336, 980, 297, 1001, 822, 166, 1037, 814, 326, 494, 167, 495, 328, 169, 1073, 330, 28, 819, 655, 818, 666, 658, 74, 20, 660, 510, 343, 8, 837, 979, 493, 509, 329, 654, 345, 332, 181, 14, 982, 187, 816, 678, 823, 7, 507, 184, 667, 656, 2, 173, 673, 665, 676, 22, 185, 991, 5, 978, 352, 23, 668, 176, 817, 347, 499, 492, 25, 491, 984, 501, 17, 444, 826, 339, 502, 1038, 12, 828, 151, 340, 675, 186, 520, 16, 671, 179, 512, 1075, 652, 483, 171, 489, 4, 174, 988, 6, 1004, 351, 163, 839, 815, 9, 832, 661, 663, 657, 829, 1, 986, 508, 168, 505, 19, 496, 182, 172, 653, 344, 490, 26, 820, 990, 27, 333, 981, 165, 3, 346, 183, 75, 821] es factible true semilla = 193
costo = 0.17897916930569285 solucion = [510, 660, 20, 500, 825, 674, 334, 984, 491, 499, 347, 817, 163, 172, 182, 496, 505, 168, 508, 986, 832, 661, 663, 657, 829, 1, 9, 2, 507, 7, 823, 678, 816, 187, 982, 14, 181, 332, 345, 820, 26, 654, 653, 344, 490, 22, 351, 1004, 5, 6, 978, 352, 668, 176, 23, 988, 165, 3, 981, 333, 990, 27, 991, 185, 676, 665, 673, 173, 656, 667, 184, 815, 839, 19, 329, 509, 493, 979, 837, 995, 17, 444, 826, 339, 1038, 12, 828, 502, 340, 297, 980, 336, 840, 350, 670, 327, 511, 504, 985, 343, 999, 8, 662, 331, 349, 1003, 11, 164, 501, 492, 25, 489, 4, 174, 183, 75, 346, 171, 652, 483, 1075, 821, 512, 179, 671, 151, 822, 166, 818, 655, 819, 28, 330, 169, 814, 326, 328, 167, 495, 494, 1037, 1073, 666, 658, 74, 1001, 675, 186, 520, 16] es factible true semilla = 197
